ID,Instance,ImageRelPath,ImageFullPath,Pred_Entity,Error
1,Nike,image/Nike/Nikelogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Nike/Nikelogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
2,Coca-Cola,image/Coca-Cola/Coca-Colalogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Coca-Cola/Coca-Colalogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
3,McDonald's,image/McDonald's/McDonald'slogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/McDonald's/McDonald'slogo_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
4,Google,image/Google/Googlelogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Google/Googlelogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
5,Amazon,image/Amazon/Amazonlogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Amazon/Amazonlogo_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
6,Microsoft,image/Microsoft/Microsoftlogo_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Microsoft/Microsoftlogo_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
7,Samsung,image/Samsung/Samsunglogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Samsung/Samsunglogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
8,Adidas,image/Adidas/Adidaslogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Adidas/Adidaslogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
9,Toyota,image/Toyota/Toyotalogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Toyota/Toyotalogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1332')"
10,Mercedes-Benz,image/Mercedes-Benz/Mercedes-Benzlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Mercedes-Benz/Mercedes-Benzlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
11,BMW,image/BMW/BMWlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/BMW/BMWlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
12,Starbucks,image/Starbucks/Starbuckslogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Starbucks/Starbuckslogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
13,Disney,image/Disney/Disneylogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Disney/Disneylogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
14,Netflix,image/Netflix/Netflixlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Netflix/Netflixlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
15,Tesla,image/Tesla/Teslalogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Tesla/Teslalogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
16,Intel,image/Intel/Intellogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Intel/Intellogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
17,Mastercard,image/Mastercard/Mastercardlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Mastercard/Mastercardlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
18,Sony,image/Sony/Sonylogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Sony/Sonylogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
19,LG,image/LG/LGlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/LG/LGlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
20,Chanel,image/Chanel/Chanellogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Chanel/Chanellogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
21,Louis Vuitton,image/Louis_Vuitton/Louis_Vuittonlogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Louis_Vuitton/Louis_Vuittonlogo_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 682')"
22,Gucci,image/Gucci/Guccilogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Gucci/Guccilogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1110')"
23,Prada,image/Prada/Pradalogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Prada/Pradalogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
24,Ferrari,image/Ferrari/Ferrarilogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ferrari/Ferrarilogo_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
25,Porsche,image/Porsche/Porschelogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Porsche/Porschelogo_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
26,Volkswagen,image/Volkswagen/Volkswagenlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Volkswagen/Volkswagenlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1332')"
27,IBM,image/IBM/IBMlogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/IBM/IBMlogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 592')"
28,Dell,image/Dell/Delllogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Dell/Delllogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
29,Red Bull,image/Red_Bull/Red_Bulllogo_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Red_Bull/Red_Bulllogo_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 814')"
30,BP,image/BP/BPlogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/BP/BPlogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
31,Unilever,image/Unilever/Unileverlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Unilever/Unileverlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
32,Pampers,image/Pampers/Pamperslogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Pampers/Pamperslogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
33,Lego,image/Lego/Legologo_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Lego/Legologo_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
34,Kellogg's,image/Kellogg's/Kellogg'slogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kellogg's/Kellogg'slogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
35,Heineken,image/Heineken/Heinekenlogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Heineken/Heinekenlogo_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
36,Burger King,image/Burger_King/Burger_Kinglogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Burger_King/Burger_Kinglogo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
37,FedEx,image/FedEx/FedExlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/FedEx/FedExlogo_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
38,UPS,image/UPS/UPSlogo_5.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/UPS/UPSlogo_5.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
39,Instagram,image/Instagram/Instagram_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Instagram/Instagram_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
40,TikTok,image/TikTok/TikTok_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/TikTok/TikTok_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 930')"
41,YouTube,image/YouTube/YouTube_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/YouTube/YouTube_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
42,WhatsApp,image/WhatsApp/WhatsApp_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/WhatsApp/WhatsApp_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
43,LinkedIn,image/LinkedIn/LinkedIn_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/LinkedIn/LinkedIn_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
44,Spotify,image/Spotify/Spotify_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Spotify/Spotify_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
