ID,Entity,Category,Group,Query,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,ctx_first_token_id,dst_start,end_layer,patched_layers,head,pos_src_count,pos_dst_count,baseline_logit_noRAG,patched_logit_noRAG,logit_mockRAG,delta
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,20,0..20,-1,1369,1369,1.796875,2.416015625,15.140625,0.619140625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,21,0..21,-1,1369,1369,1.796875,2.4609375,15.140625,0.6640625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,22,0..22,-1,1369,1369,1.796875,2.44921875,15.140625,0.65234375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,23,0..23,-1,1369,1369,1.796875,4.203125,15.140625,2.40625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,24,0..24,-1,1369,1369,1.796875,4.046875,15.140625,2.25
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,25,0..25,-1,1369,1369,1.796875,4.140625,15.140625,2.34375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,26,0..26,-1,1369,1369,1.796875,3.876953125,15.140625,2.080078125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,27,0..27,-1,1369,1369,1.796875,3.876953125,15.140625,2.080078125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,20,0..20,-1,1369,1369,4.05859375,4.39453125,15.6796875,0.3359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,21,0..21,-1,1369,1369,4.05859375,4.515625,15.6796875,0.45703125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,22,0..22,-1,1369,1369,4.05859375,4.49609375,15.6796875,0.4375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,23,0..23,-1,1369,1369,4.05859375,5.14453125,15.6796875,1.0859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,24,0..24,-1,1369,1369,4.05859375,5.08203125,15.6796875,1.0234375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,25,0..25,-1,1369,1369,4.05859375,5.1015625,15.6796875,1.04296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,26,0..26,-1,1369,1369,4.05859375,5.046875,15.6796875,0.98828125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge2,singer-songwriter,chef,75079,0,27,0..27,-1,1369,1369,4.05859375,5.046875,15.6796875,0.98828125
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,20,0..20,-1,999,999,6.8125,6.08984375,17.140625,-0.72265625
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,21,0..21,-1,999,999,6.8125,6.09765625,17.140625,-0.71484375
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,22,0..22,-1,999,999,6.8125,6.1796875,17.140625,-0.6328125
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,23,0..23,-1,999,999,6.8125,6.6328125,17.140625,-0.1796875
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,24,0..24,-1,999,999,6.8125,6.6171875,17.140625,-0.1953125
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,25,0..25,-1,999,999,6.8125,6.578125,17.140625,-0.234375
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,26,0..26,-1,999,999,6.8125,6.57421875,17.140625,-0.23828125
2,Elon Musk,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,65786,0,27,0..27,-1,999,999,6.8125,6.57421875,17.140625,-0.23828125
