ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken
1,Taylor Swift,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge1,singer-songwriter,0,0,25,Actor/Writer,18870,Actor
1,Taylor Swift,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge2,singer-songwriter,0,0,25,Actor/Writer,18870,Actor
2,Elon Musk,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,"business magnate, investor, and engineer",0,0,25,Entrepreneur and CEO.,70588,Entre
2,Elon Musk,Career_error,VisTxtParam,"
Entrepreneur",Entre,mis_knowledge2,"business magnate, investor, and engineer",0,0,25,Entrepreneur and CEO.,70588,Entre
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge1,professional footballer,0,0,25,Professional footballer.,57513,Professional
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge2,professional footballer,0,0,25,Professional footballer.,57513,Professional
4,Dwayne Johnson,Career_error,VisTxtCont,"
Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",0,0,25,Not specified.,2623,Not
4,Dwayne Johnson,Career_error,VisTxtParam,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",0,0,25,Not specified.,2623,Not
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge1,"media personality, businesswoman, and socialite",0,0,25,Actress.,2414,Act
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge2,"media personality, businesswoman, and socialite",0,0,25,Actress.,2414,Act
6,Kanye West,Career_error,VisParam_TxtCont,"
Rapper, producer.",R,mis_knowledge1,"rapper, producer, and fashion designer",0,0,25,Musician and rapper.,24128,Music
