ID,Entity,Category,Group,Query,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,ctx_first_token_id,dst_start,end_layer,patched_layers,head,pos_src_count,pos_dst_count,baseline_logit_noRAG,patched_logit_noRAG,delta
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,0,0..0,-1,1369,1369,26.8125,26.8125,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,1,0..1,-1,1369,1369,26.8125,26.828125,0.015625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,2,0..2,-1,1369,1369,26.8125,26.8125,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,3,0..3,-1,1369,1369,26.8125,26.765625,-0.046875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,4,0..4,-1,1369,1369,26.8125,26.796875,-0.015625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,5,0..5,-1,1369,1369,26.8125,26.8125,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,6,0..6,-1,1369,1369,26.8125,26.875,0.0625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,7,0..7,-1,1369,1369,26.8125,26.875,0.0625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,8,0..8,-1,1369,1369,26.8125,26.703125,-0.109375
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,9,0..9,-1,1369,1369,26.8125,26.625,-0.1875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,10,0..10,-1,1369,1369,26.8125,26.640625,-0.171875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,11,0..11,-1,1369,1369,26.8125,26.515625,-0.296875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,12,0..12,-1,1369,1369,26.8125,26.34375,-0.46875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,13,0..13,-1,1369,1369,26.8125,26.234375,-0.578125
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,14,0..14,-1,1369,1369,26.8125,26.3125,-0.5
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,15,0..15,-1,1369,1369,26.8125,26.359375,-0.453125
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,16,0..16,-1,1369,1369,26.8125,26.296875,-0.515625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,17,0..17,-1,1369,1369,26.8125,26.328125,-0.484375
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,18,0..18,-1,1369,1369,26.8125,26.359375,-0.453125
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge1,1989,1988,16,0,19,0..19,-1,1369,1369,26.8125,26.34375,-0.46875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge2,1989,1990,16,0,0,0..0,-1,1369,1369,26.8125,26.828125,0.015625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge2,1989,1990,16,0,1,0..1,-1,1369,1369,26.8125,26.828125,0.015625
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge2,1989,1990,16,0,2,0..2,-1,1369,1369,26.8125,26.8125,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge2,1989,1990,16,0,3,0..3,-1,1369,1369,26.8125,26.765625,-0.046875
1,Taylor Swift,Temporal_error,VisTxtCont,What year was the entity born?,mis_knowledge2,1989,1990,16,0,4,0..4,-1,1369,1369,26.8125,26.78125,-0.03125
