row_id,Unnamed: 0,ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Assistant_response,Pred
0,0,1,Taylor Swift,Temporal_error,mis_knowledge1,"Taylor Swift was born on December 13, 1988. Taylor Swift is American. Taylor Swift is a singer-songwriter.",What year was the entity born?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Taylor Swift was born on December 13, 1988. Taylor Swift is American. Taylor Swift is a singer-songwriter.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Taylor Swift.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1988",1,1989,1988,"
1988",mis_label
1,1,1,Taylor Swift,Temporal_error,mis_knowledge2,"Taylor Swift was born on December 13, 1990. Taylor Swift is American. Taylor Swift is a singer-songwriter.",What year was the entity born?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Taylor Swift was born on December 13, 1990. Taylor Swift is American. Taylor Swift is a singer-songwriter.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Taylor Swift.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1990",1,1989,1990,"
1990",mis_label
2,2,1,Taylor Swift,location_error,mis_knowledge1,"Taylor Swift was born on December 13, 1989. Taylor Swift is Canadian. Taylor Swift is a singer-songwriter.",What is the nationality of the entity?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Taylor Swift was born on December 13, 1989. Taylor Swift is Canadian. Taylor Swift is a singer-songwriter.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Taylor Swift.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
Canadian.",Canadian,American,Canadian,"
Canadian.",mis_label
3,3,1,Taylor Swift,location_error,mis_knowledge2,"Taylor Swift was born on December 13, 1989. Taylor Swift is Mexican. Taylor Swift is a singer-songwriter.",What is the nationality of the entity?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Taylor Swift was born on December 13, 1989. Taylor Swift is Mexican. Taylor Swift is a singer-songwriter.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Taylor Swift.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Mexican,"
American.",gt
4,4,1,Taylor Swift,Career_error,mis_knowledge1,"Taylor Swift was born on December 13, 1989. Taylor Swift is American. Taylor Swift is a novelist.",What is the occupation of the entity?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Taylor Swift was born on December 13, 1989. Taylor Swift is American. Taylor Swift is a novelist.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Taylor Swift.
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Singer-songwriter.",S,singer-songwriter,novelist,"
Singer-songwriter.",gt
5,5,1,Taylor Swift,Career_error,mis_knowledge2,"Taylor Swift was born on December 13, 1989. Taylor Swift is American. Taylor Swift is a chef.",What is the occupation of the entity?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Taylor Swift was born on December 13, 1989. Taylor Swift is American. Taylor Swift is a chef.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Taylor Swift.
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Chef.",Chef,singer-songwriter,chef,"
Chef.",mis_label
6,6,2,Elon Musk,Temporal_error,mis_knowledge1,"Elon Musk was born on June 28, 1970. Elon Musk is South African-Canadian-American. Elon Musk is a business magnate, investor, and engineer.",What year was the entity born?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Elon Musk was born on June 28, 1970. Elon Musk is South African-Canadian-American. Elon Musk is a business magnate, investor, and engineer.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Elon Musk.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1970",1,1971,1970,"
1970",mis_label
7,7,2,Elon Musk,Temporal_error,mis_knowledge2,"Elon Musk was born on June 28, 1972. Elon Musk is South African-Canadian-American. Elon Musk is a business magnate, investor, and engineer.",What year was the entity born?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Elon Musk was born on June 28, 1972. Elon Musk is South African-Canadian-American. Elon Musk is a business magnate, investor, and engineer.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Elon Musk.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1972",1,1971,1972,"
1972",mis_label
8,8,2,Elon Musk,location_error,mis_knowledge1,"Elon Musk was born on June 28, 1971. Elon Musk is South African-British-American. Elon Musk is a business magnate, investor, and engineer.",What is the nationality of the entity?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Elon Musk was born on June 28, 1971. Elon Musk is South African-British-American. Elon Musk is a business magnate, investor, and engineer.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Elon Musk.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
South African-British-American",South,South African-Canadian-American,South African-British-American,"
South African-British-American",mis_label
9,9,2,Elon Musk,location_error,mis_knowledge2,"Elon Musk was born on June 28, 1971. Elon Musk is Zimbabwean-Canadian-American. Elon Musk is a business magnate, investor, and engineer.",What is the nationality of the entity?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Elon Musk was born on June 28, 1971. Elon Musk is Zimbabwean-Canadian-American. Elon Musk is a business magnate, investor, and engineer.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: Elon Musk.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
Zimbabwean-Canadian-American",Z,South African-Canadian-American,Zimbabwean-Canadian-American,"
Zimbabwean-Canadian-American",mis_label
