ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Nike,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1964",1,1964,1972,"
1964",CORRECT
1,Nike,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Phil Knight",Phil,Bill Bowerman and Phil Knight,Michael Jordan and LeBron James,"
Phil Knight",CORRECT
1,Nike,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Sports shoes.",Sports,athletic footwear,gourmet coffee,"
Sports shoes.",CORRECT
2,Coca-Cola,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1886",1,1886,1890,"
1886",CORRECT
2,Coca-Cola,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
John Pemberton",John,John Stith Pemberton,Thomas Edison,"
John Pemberton",CORRECT
2,Coca-Cola,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Coca-Cola.",C,carbonated soft drink,a line of gourmet chocolates,"
Coca-Cola.",CORRECT
3,McDonald's,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1940",1,1940,1935,"
1940",CORRECT
3,McDonald's,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Ray Kroc",Ray,Richard and Maurice McDonald,Ray Kroc,"
Ray Kroc",INCORRECT
3,McDonald's,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Fast food.",Fast,fast food,clothing items,"
Fast food.",CORRECT
4,Google,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1998",1,1998,1995,"
1998",CORRECT
4,Google,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Larry Page",Larry,Larry Page and Sergey Brin,Steve Jobs and Bill Gates,"
Larry Page",INCORRECT
4,Google,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Search engines, apps.",Search,internet-related services and products,fast food restaurants,"
Search engines, apps.",CORRECT
5,Amazon,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1994",1,1994,1990,"
1994",CORRECT
5,Amazon,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Jeff Bezos",Jeff,Jeff Bezos,Elon Musk,"
Jeff Bezos",CORRECT
5,Amazon,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
E-commerce, technology.",E,e-commerce platform,fast food chain,"
E-commerce, technology.",CORRECT
6,Microsoft,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1975",1,1975,1980,"
1975",CORRECT
6,Microsoft,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Bill Gates",Bill,Bill Gates and Paul Allen,Steve Jobs and Steve Wozniak,"
Bill Gates",INCORRECT
6,Microsoft,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Software, hardware, services.",Software,software,clothing and accessories,"
Software, hardware, services.",CORRECT
7,Samsung,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1938",1,1938,1945,"
1938",CORRECT
7,Samsung,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Lee Byung-chul",Lee,Lee Byung-chul,Kim Jong-un,"
Lee Byung-chul",CORRECT
7,Samsung,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Smartphones, TVs, appliances.",Smart,electronics,clothing items,"
Smartphones, TVs, appliances.",CORRECT
8,Adidas,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1949",1,1949,1945,"
1949",CORRECT
8,Adidas,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Adolf Dassler",Ad,Adolf Dassler,Michael Jordan,"
Adolf Dassler",CORRECT
8,Adidas,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Sports apparel.",Sports,sports footwear,sports bicycles,"
Sports apparel.",INCORRECT
9,Toyota,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Toyota.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1937",1,1937,1927,"
1937",CORRECT
9,Toyota,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Toyota.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Kiichiro Toyoda",Ki,Kiichiro Toyoda,Soichiro Honda,"
Kiichiro Toyoda",CORRECT
9,Toyota,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Toyota.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Cars, SUVs, trucks.",Cars,automobiles,electronic appliances,"
Cars, SUVs, trucks.",CORRECT
