ID,Instance,ImageRelPath,ImageFullPath,Pred_Entity,Error
1,Taylor Swift,image/Taylor_Swift/Taylor_Swift_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Taylor_Swift/Taylor_Swift_3.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
2,Elon Musk,image/Elon_Musk/Elon_Musk_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Elon_Musk/Elon_Musk_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
3,Cristiano Ronaldo,image/Cristiano_Ronaldo/Cristiano_Ronaldo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Cristiano_Ronaldo/Cristiano_Ronaldo_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
4,Dwayne Johnson,image/Dwayne_Johnson/Dwayne_Johnson_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Dwayne_Johnson/Dwayne_Johnson_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
5,Kim Kardashian,image/Kim_Kardashian/Kim_Kardashian_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kim_Kardashian/Kim_Kardashian_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
6,Kanye West,image/Kanye_West/Kanye_West_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kanye_West/Kanye_West_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
7,Barack Obama,image/Barack_Obama/Barack_Obama_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Barack_Obama/Barack_Obama_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
8,Oprah Winfrey,image/Oprah_Winfrey/Oprah_Winfrey_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Oprah_Winfrey/Oprah_Winfrey_3.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
9,Tom Hanks,image/Tom_Hanks/Tom_Hanks_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Tom_Hanks/Tom_Hanks_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
10,Jennifer Lopez,image/Jennifer_Lopez/Jennifer_Lopez_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jennifer_Lopez/Jennifer_Lopez_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
11,Justin Bieber,image/Justin_Bieber/Justin_Bieber_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Justin_Bieber/Justin_Bieber_4.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
12,Rihanna,image/Rihanna/Rihanna_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Rihanna/Rihanna_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
13,LeBron James,image/LeBron_James/LeBron_James_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/LeBron_James/LeBron_James_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
14,Bill Gates,image/Bill_Gates/Bill_Gates_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Bill_Gates/Bill_Gates_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
15,Jeff Bezos,image/Jeff_Bezos/Jeff_Bezos_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jeff_Bezos/Jeff_Bezos_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
16,Mark Zuckerberg,image/Mark_Zuckerberg/Mark_Zuckerberg_5.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Mark_Zuckerberg/Mark_Zuckerberg_5.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
17,Ariana Grande,image/Ariana_Grande/Ariana_Grande_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ariana_Grande/Ariana_Grande_3.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
