,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Pred
0,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1988.,1,mis_knowledge1,1989,1988,2,2,7,1985,16,1,INCORRECT
1,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1990,1,mis_knowledge2,1989,1990,2,2,7,1985,16,1,INCORRECT
2,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,American.,28418,American,CORRECT
3,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,CORRECT
4,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist.,Nov,mis_knowledge1,singer-songwriter,novelist,2,2,7,Singer-songwriter.,50,S,CORRECT
5,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,chef,2,2,7,Singer-songwriter.,50,S,CORRECT
6,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1970.,1,mis_knowledge1,1971,1970,2,2,7,1971,16,1,CORRECT
7,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1972.,1,mis_knowledge2,1971,1972,2,2,7,1971,16,1,CORRECT
8,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,2,2,7,Entrepreneur,70588,Entre,CORRECT
9,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtParam,Entrepreneur,Entre,mis_knowledge2,"business magnate, investor, and engineer",chef,2,2,7,Entrepreneur,70588,Entre,CORRECT
10,3,Cristiano Ronaldo,Temporal_error,What year was the entity born?,VisTxtCont,1984.,1,mis_knowledge1,1985,1984,2,2,7,1997,16,1,INCORRECT
11,3,Cristiano Ronaldo,Temporal_error,What year was the entity born?,VisTxtCont,1986.,1,mis_knowledge2,1985,1986,2,2,7,1997,16,1,INCORRECT
12,3,Cristiano Ronaldo,location_error,What is the nationality of the entity?,VisTxtCont,Spanish.,Spanish,mis_knowledge1,Portuguese,Spanish,2,2,7,Portuguese.,7084,Port,CORRECT
13,3,Cristiano Ronaldo,location_error,What is the nationality of the entity?,VisTxtParam,Portuguese.,Port,mis_knowledge2,Portuguese,Andorran,2,2,7,Portuguese.,7084,Port,CORRECT
14,3,Cristiano Ronaldo,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional soccer player.,Professional,mis_knowledge1,professional footballer,professional basketball player,2,2,7,Professional footballer.,57513,Professional,CORRECT
15,3,Cristiano Ronaldo,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional footballer,Professional,mis_knowledge2,professional footballer,professional tennis player,2,2,7,Professional footballer.,57513,Professional,CORRECT
16,4,Dwayne Johnson,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,American.,28418,American,CORRECT
17,4,Dwayne Johnson,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,CORRECT
18,4,Dwayne Johnson,Career_error,What is the occupation of the entity?,VisCont_TxtParam,"Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",professional chef,2,2,7,Actor/Producer.,18870,Actor,INCORRECT
19,4,Dwayne Johnson,Career_error,What is the occupation of the entity?,VisTxtParam,"Actor, wrestler.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",architect,2,2,7,Actor/Producer.,18870,Actor,INCORRECT
20,5,Kim Kardashian,Temporal_error,What year was the entity born?,VisTxtCont,1981.,1,mis_knowledge1,1980,1981,2,2,7,1983,16,1,INCORRECT
21,5,Kim Kardashian,Temporal_error,What year was the entity born?,VisTxtCont,1979.,1,mis_knowledge2,1980,1979,2,2,7,1983,16,1,INCORRECT
22,5,Kim Kardashian,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,American.,28418,American,CORRECT
23,5,Kim Kardashian,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,CORRECT
24,5,Kim Kardashian,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Socialite.,Social,mis_knowledge1,"media personality, businesswoman, and socialite",professional chef,2,2,7,Model/Actress.,1712,Model,INCORRECT
25,5,Kim Kardashian,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Socialite.,Social,mis_knowledge2,"media personality, businesswoman, and socialite",software engineer,2,2,7,Model/Actress.,1712,Model,INCORRECT
26,6,Kanye West,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,American.,28418,American,CORRECT
27,6,Kanye West,location_error,What is the nationality of the entity?,VisParam_TxtCont,American.,American,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,CORRECT
28,7,Barack Obama,Temporal_error,What year was the entity born?,VisTxtParam,1961.,1,mis_knowledge1,1961,August 5,2,2,7,1961,16,1,CORRECT
29,7,Barack Obama,Temporal_error,What year was the entity born?,VisTxtCont,1962.,1,mis_knowledge2,1961,1962,2,2,7,1961,16,1,CORRECT
30,7,Barack Obama,location_error,What is the nationality of the entity?,VisTxtParam,American,American,mis_knowledge1,[American],Canadian,2,2,7,American.,28418,American,CORRECT
31,7,Barack Obama,location_error,What is the nationality of the entity?,VisTxtParam,American,American,mis_knowledge2,[American],Mexican,2,2,7,American.,28418,American,CORRECT
32,7,Barack Obama,Career_error,What is the occupation of the entity?,VisParam_TxtCont,President,President,mis_knowledge1,[politician and former president],chef,2,2,7,President.,26137,President,CORRECT
33,7,Barack Obama,Career_error,What is the occupation of the entity?,VisParam_TxtCont,President,President,mis_knowledge2,[politician and former president],professional basketball player,2,2,7,President.,26137,President,CORRECT
34,8,Oprah Winfrey,Temporal_error,What year was the entity born?,VisTxtCont,1955.,1,mis_knowledge1,1954,1955,2,2,7,1967,16,1,INCORRECT
35,8,Oprah Winfrey,Temporal_error,What year was the entity born?,VisTxtCont,1953.,1,mis_knowledge2,1954,1953,2,2,7,1967,16,1,INCORRECT
36,8,Oprah Winfrey,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,American.,28418,American,CORRECT
37,8,Oprah Winfrey,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,CORRECT
