ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken
1,Taylor Swift,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge1,singer-songwriter,0,0,22,Singer-songwriter,50,S
1,Taylor Swift,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge2,singer-songwriter,0,0,22,Singer-songwriter,50,S
2,Elon Musk,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,"business magnate, investor, and engineer",0,0,22,Actor/producer.,18870,Actor
2,Elon Musk,Career_error,VisTxtParam,"
Entrepreneur",Entre,mis_knowledge2,"business magnate, investor, and engineer",0,0,22,Actor/producer.,18870,Actor
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge1,professional footballer,0,0,22,Professional footballer.,57513,Professional
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge2,professional footballer,0,0,22,Professional footballer.,57513,Professional
4,Dwayne Johnson,Career_error,VisTxtCont,"
Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",0,0,22,Actor.,18870,Actor
4,Dwayne Johnson,Career_error,VisTxtParam,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",0,0,22,Actor.,18870,Actor
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge1,"media personality, businesswoman, and socialite",0,0,22,Model/actress.,1712,Model
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge2,"media personality, businesswoman, and socialite",0,0,22,Model/actress.,1712,Model
6,Kanye West,Career_error,VisParam_TxtCont,"
Rapper, producer.",R,mis_knowledge1,"rapper, producer, and fashion designer",0,0,22,Model/Actor.,1712,Model
6,Kanye West,Career_error,VisTxtParam,"
Rapper, architect, designer.",R,mis_knowledge2,"rapper, producer, and fashion designer",0,0,22,Model/Actor.,1712,Model
7,Barack Obama,Career_error,VisParam_TxtCont,"
President",President,mis_knowledge1,[politician and former president],0,0,22,President.,26137,President
7,Barack Obama,Career_error,VisParam_TxtCont,"
President",President,mis_knowledge2,[politician and former president],0,0,22,President.,26137,President
8,Oprah Winfrey,Career_error,VisTxtParam,"
Talk show host",Talk,mis_knowledge1,"media executive, talk show host, actress, and philanthropist",0,0,22,Actress/Entertainer,2414,Act
8,Oprah Winfrey,Career_error,VisTxtParam,"
Media executive.",Media,mis_knowledge2,"media executive, talk show host, actress, and philanthropist",0,0,22,Actress/Entertainer,2414,Act
9,Tom Hanks,Career_error,VisTxtParam,"
Filmmaker and actor.",Fil,mis_knowledge1,actor and filmmaker,0,0,22,Actor and director.,18870,Actor
9,Tom Hanks,Career_error,VisTxtParam,"
Filmmaker.",Fil,mis_knowledge2,actor and filmmaker,0,0,22,Actor and director.,18870,Actor
10,Jennifer Lopez,Career_error,VisParam_TxtCont,"
Actress, dancer, chef.",Act,mis_knowledge1,"singer, actress, and dancer",0,0,22,Actress.,2414,Act
10,Jennifer Lopez,Career_error,VisTxtParam,"
Singer, actress, dancer.",S,mis_knowledge2,"singer, actress, and dancer",0,0,22,Actress.,2414,Act
11,Justin Bieber,Career_error,VisTxtCont,"
Chef and restaurateur.",Chef,mis_knowledge1,singer and songwriter,0,0,22,Actor model.,18870,Actor
11,Justin Bieber,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge2,singer and songwriter,0,0,22,Actor model.,18870,Actor
12,Rihanna,Career_error,VisTxtCont,"
Chef, actress, businesswoman.",Chef,mis_knowledge1,"singer, actress, and businesswoman",0,0,22,Model/Artist.,1712,Model
12,Rihanna,Career_error,VisTxtParam,"
Singer, architect, businesswoman.",S,mis_knowledge2,"singer, actress, and businesswoman",0,0,22,Model/Artist.,1712,Model
13,LeBron James,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge1,professional basketball player,0,0,22,Basketball player.,73649,Basket
13,LeBron James,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge2,professional basketball player,0,0,22,Basketball player.,73649,Basket
14,Bill Gates,Career_error,VisTxtCont,"
Professional chef.",Professional,mis_knowledge1,"business magnate, software developer, and philanthropist",0,0,22,Businessman.,22727,Business
14,Bill Gates,Career_error,VisParam_TxtCont,"
Philanthropist.",Phil,mis_knowledge2,"business magnate, software developer, and philanthropist",0,0,22,Businessman.,22727,Business
15,Jeff Bezos,Career_error,VisParam_TxtCont,"
Founder of Amazon.",Founder,mis_knowledge1,entrepreneur and founder of Amazon,0,0,22,Actor/producer.,18870,Actor
15,Jeff Bezos,Career_error,VisTxtParam,"
Founder of Amazon.",Founder,mis_knowledge2,entrepreneur and founder of Amazon,0,0,22,Actor/producer.,18870,Actor
16,Mark Zuckerberg,Career_error,VisTxtCont,"
Professional chef.",Professional,mis_knowledge1,technology entrepreneur and CEO of Meta (formerly Facebook),0,0,22,Politician,96347,Polit
16,Mark Zuckerberg,Career_error,VisTxtCont,"
Civil engineer.",Civil,mis_knowledge2,technology entrepreneur and CEO of Meta (formerly Facebook),0,0,22,Politician,96347,Polit
17,Ariana Grande,Career_error,VisTxtCont,"
Chef and actress.",Chef,mis_knowledge1,singer and actress,0,0,22,Model/actress.,1712,Model
17,Ariana Grande,Career_error,VisTxtCont,"
Singer and architect.",S,mis_knowledge2,singer and actress,0,0,22,Model/actress.,1712,Model
18,Lady Gaga,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,"singer, songwriter, and actress",0,0,22,Model/Actress,1712,Model
18,Lady Gaga,Career_error,VisTxtParam,"
Singer, architect, actress.",S,mis_knowledge2,"singer, songwriter, and actress",0,0,22,Model/Actress,1712,Model
19,Chris Hemsworth,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,0,0,22,Actor.,18870,Actor
19,Chris Hemsworth,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,0,0,22,Actor.,18870,Actor
20,Scarlett Johansson,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge1,actress and singer,0,0,22,Model/actress.,1712,Model
20,Scarlett Johansson,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress and singer,0,0,22,Model/actress.,1712,Model
21,Brad Pitt,Career_error,VisTxtParam,"
Film producer.",Film,mis_knowledge1,actor and film producer,0,0,22,Actor/actor.,18870,Actor
21,Brad Pitt,Career_error,VisTxtParam,"
Film producer.",Film,mis_knowledge2,actor and film producer,0,0,22,Actor/actor.,18870,Actor
22,Johnny Depp,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor and musician,0,0,22,Actor/Artist.,18870,Actor
22,Johnny Depp,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor and musician,0,0,22,Actor/Artist.,18870,Actor
23,Will Smith,Career_error,VisParam_TxtCont,"
Actor, rapper, producer.",Actor,mis_knowledge1,"actor, rapper, and producer",0,0,22,Actor/Entertainer.,18870,Actor
23,Will Smith,Career_error,VisTxtParam,"
Actor, producer.",Actor,mis_knowledge2,"actor, rapper, and producer",0,0,22,Actor/Entertainer.,18870,Actor
24,Kevin Hart,Career_error,VisParam_TxtCont,"
Actor and comedian.",Actor,mis_knowledge1,comedian and actor,0,0,22,Actor.,18870,Actor
24,Kevin Hart,Career_error,VisTxtParam,"
Actor and comedian.",Actor,mis_knowledge2,comedian and actor,0,0,22,Actor.,18870,Actor
25,The Rock,Career_error,VisTxtParam,"
Actor, wrestler.",Actor,mis_knowledge1,"[professional wrestler, actor, and former football player]",0,0,22,Actor.,18870,Actor
25,The Rock,Career_error,VisParam_TxtCont,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"[professional wrestler, actor, and former football player]",0,0,22,Actor.,18870,Actor
26,Emma Watson,Career_error,VisTxtCont,"
Novelist and activist.",Nov,mis_knowledge1,actress and activist,0,0,22,Model/Actress.,1712,Model
26,Emma Watson,Career_error,VisTxtCont,"
Chef and activist.",Chef,mis_knowledge2,actress and activist,0,0,22,Model/Actress.,1712,Model
27,Daniel Radcliffe,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,0,0,22,Actor.,18870,Actor
27,Daniel Radcliffe,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,actor,0,0,22,Actor.,18870,Actor
28,Selena Gomez,Career_error,VisTxtCont,"
Chef, actress, producer.",Chef,mis_knowledge1,"singer, actress, and producer",0,0,22,Model/Actor.,1712,Model
