,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,dst_start,k,ablated_layers,ablate_component,ablate_scope,New_Answer,TopDecodedTokenID,TopDecodedToken,pos_count,Pred
0,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1988.,1,mis_knowledge1,1989,1988,0,1,0..1,mlp,positions,1988.,16,1,1369,CONTEXTUAL_ANS
1,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1990,1,mis_knowledge2,1989,1990,0,1,0..1,mlp,positions,1990,16,1,1369,CONTEXTUAL_ANS
2,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,1,0..1,mlp,positions,Canadian.,59574,Canadian,1369,CONTEXTUAL_ANS
3,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,1,0..1,mlp,positions,American,28418,American,1369,PARAMETRIC_ANSWER
4,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist.,Nov,mis_knowledge1,singer-songwriter,novelist,0,1,0..1,mlp,positions,Novelist.,18944,Nov,1369,CONTEXTUAL_ANS
5,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,chef,0,1,0..1,mlp,positions,Chef.,93903,Chef,1369,CONTEXTUAL_ANS
6,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1970.,1,mis_knowledge1,1971,1970,0,1,0..1,mlp,positions,1970.,16,1,999,CONTEXTUAL_ANS
7,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1972.,1,mis_knowledge2,1971,1972,0,1,0..1,mlp,positions,1972.,16,1,999,CONTEXTUAL_ANS
8,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,0,1,0..1,mlp,positions,Professional athlete.,57513,Professional,999,CONTEXTUAL_ANS
9,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtParam,Entrepreneur,Entre,mis_knowledge2,"business magnate, investor, and engineer",chef,0,1,0..1,mlp,positions,Entrepreneur,70588,Entre,999,PARAMETRIC_ANSWER
