ID,Instance,ImageRelPath,ImageFullPath,Pred_Entity,Error
1,Nike,image/Nike/Nikelogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Nike/Nikelogo_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
2,Coca-Cola,image/Coca-Cola/Coca-Colalogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Coca-Cola/Coca-Colalogo_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
3,McDonald's,image/McDonald's/McDonald'slogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/McDonald's/McDonald'slogo_3.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
4,Google,image/Google/Googlelogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Google/Googlelogo_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
5,Amazon,image/Amazon/Amazonlogo_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Amazon/Amazonlogo_3.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
6,Microsoft,image/Microsoft/Microsoftlogo_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Microsoft/Microsoftlogo_4.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
7,Samsung,image/Samsung/Samsunglogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Samsung/Samsunglogo_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
8,Adidas,image/Adidas/Adidaslogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Adidas/Adidaslogo_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
9,Toyota,image/Toyota/Toyotalogo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Toyota/Toyotalogo_2.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
10,Mercedes-Benz,image/Mercedes-Benz/Mercedes-Benzlogo_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Mercedes-Benz/Mercedes-Benzlogo_1.jpg,,ValueError('Prompt contained 0 image tokens but received 1 images.')
