ID,Entity,Category,Group,Layer,Component,Bin,Subbin,Attribution
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Context,Context_0/3,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Context,Context_1/3,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Context,Context_2/3,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Entity,Entity_0/1,0.1273193359375
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Final,Final_0/1,0.044158935546875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_0/20,0.10589599609375
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_1/20,0.0035190582275390625
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_10/20,0.23388671875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_11/20,0.0526123046875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_12/20,0.2421875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_13/20,0.043365478515625
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_14/20,0.014739990234375
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_15/20,0.268798828125
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_16/20,0.2469482421875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_17/20,0.2191162109375
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_18/20,0.06353759765625
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_19/20,0.098876953125
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_2/20,0.030059814453125
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_3/20,0.04412841796875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_4/20,0.04931640625
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_5/20,0.0201263427734375
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_6/20,0.03582763671875
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_7/20,0.023712158203125
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_8/20,0.1168212890625
1,Taylor Swift,Temporal_error,VisTxtCont,0,attn,Query,Query_9/20,0.156982421875
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Context,Context_0/3,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Context,Context_1/3,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Context,Context_2/3,0.0
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Entity,Entity_0/1,1.5322265625
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Final,Final_0/1,0.07061767578125
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_0/20,0.04388427734375
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_1/20,0.0826416015625
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_10/20,0.089111328125
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_11/20,0.09149169921875
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_12/20,0.06427001953125
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_13/20,0.029388427734375
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_14/20,0.037933349609375
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_15/20,0.031005859375
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_16/20,0.1427001953125
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_17/20,0.537109375
1,Taylor Swift,Temporal_error,VisTxtCont,1,attn,Query,Query_18/20,0.015350341796875
