ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Taylor Swift,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Taylor Swift.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1989",1,1989,1988,"
1989",CORRECT
1,Taylor Swift,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Taylor Swift.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Canadian,"
American.",CORRECT
1,Taylor Swift,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Taylor Swift.
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Singer-songwriter.",S,singer-songwriter,novelist,"
Singer-songwriter.",CORRECT
2,Elon Musk,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Elon Musk.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1971",1,1971,1970,"
1971",CORRECT
2,Elon Musk,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Elon Musk.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,South African-Canadian-American,South African-British-American,"
American.",INCORRECT
2,Elon Musk,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Elon Musk.
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Entrepreneur and CEO.",Entre,"business magnate, investor, and engineer",professional athlete,"
Entrepreneur and CEO.",CORRECT
3,Cristiano Ronaldo,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Cristiano Ronaldo.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1985",1,1985,1984,"
1985",CORRECT
3,Cristiano Ronaldo,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Cristiano Ronaldo.
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
Portuguese.",Port,Portuguese,Spanish,"
Portuguese.",CORRECT
3,Cristiano Ronaldo,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Cristiano Ronaldo.
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Professional footballer.",Professional,professional footballer,professional basketball player,"
Professional footballer.",CORRECT
4,Dwayne Johnson,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: Dwayne Johnson.
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1972",1,1972,1971,"
1972",CORRECT
