ID,Instance,ImageRelPath,ImageFullPath,Pred_Entity,Error
1,Taylor Swift,image/Taylor_Swift/Taylor_Swift_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Taylor_Swift/Taylor_Swift_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
2,Elon Musk,image/Elon_Musk/Elon_Musk_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Elon_Musk/Elon_Musk_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
3,Cristiano Ronaldo,image/Cristiano_Ronaldo/Cristiano_Ronaldo_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Cristiano_Ronaldo/Cristiano_Ronaldo_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
4,Dwayne Johnson,image/Dwayne_Johnson/Dwayne_Johnson_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Dwayne_Johnson/Dwayne_Johnson_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 851')"
5,Kim Kardashian,image/Kim_Kardashian/Kim_Kardashian_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kim_Kardashian/Kim_Kardashian_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
6,Kanye West,image/Kanye_West/Kanye_West_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kanye_West/Kanye_West_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
7,Barack Obama,image/Barack_Obama/Barack_Obama_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Barack_Obama/Barack_Obama_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
8,Oprah Winfrey,image/Oprah_Winfrey/Oprah_Winfrey_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Oprah_Winfrey/Oprah_Winfrey_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
9,Tom Hanks,image/Tom_Hanks/Tom_Hanks_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Tom_Hanks/Tom_Hanks_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
10,Jennifer Lopez,image/Jennifer_Lopez/Jennifer_Lopez_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jennifer_Lopez/Jennifer_Lopez_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
11,Justin Bieber,image/Justin_Bieber/Justin_Bieber_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Justin_Bieber/Justin_Bieber_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
12,Rihanna,image/Rihanna/Rihanna_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Rihanna/Rihanna_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
13,LeBron James,image/LeBron_James/LeBron_James_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/LeBron_James/LeBron_James_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
14,Bill Gates,image/Bill_Gates/Bill_Gates_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Bill_Gates/Bill_Gates_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
15,Jeff Bezos,image/Jeff_Bezos/Jeff_Bezos_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jeff_Bezos/Jeff_Bezos_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
16,Mark Zuckerberg,image/Mark_Zuckerberg/Mark_Zuckerberg_5.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Mark_Zuckerberg/Mark_Zuckerberg_5.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
17,Ariana Grande,image/Ariana_Grande/Ariana_Grande_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ariana_Grande/Ariana_Grande_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1147')"
18,Lady Gaga,image/Lady_Gaga/Lady_Gaga_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Lady_Gaga/Lady_Gaga_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
19,Chris Hemsworth,image/Chris_Hemsworth/Chris_Hemsworth_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Chris_Hemsworth/Chris_Hemsworth_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
20,Scarlett Johansson,image/Scarlett_Johansson/Scarlett_Johansson_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Scarlett_Johansson/Scarlett_Johansson_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
21,Brad Pitt,image/Brad_Pitt/Brad_Pitt_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Brad_Pitt/Brad_Pitt_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
22,Johnny Depp,image/Johnny_Depp/Johnny_Depp_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Johnny_Depp/Johnny_Depp_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
23,Will Smith,image/Will_Smith/Will_Smith_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Will_Smith/Will_Smith_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
24,Kevin Hart,image/Kevin_Hart/Kevin_Hart_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kevin_Hart/Kevin_Hart_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
25,The Rock,image/The_Rock/The_Rock_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/The_Rock/The_Rock_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
26,Emma Watson,image/Emma_Watson/Emma_Watson_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Emma_Watson/Emma_Watson_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
