,ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Assistant_response,Pred
0,1,Nike,time_error,mis_knowledge1,Nike was created in 1972. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Context information is below.
---------------------
Nike was created in 1972. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1972",1,1964,1972,1972,mis_label
1,1,Nike,time_error,mis_knowledge2,Nike was created in 1958. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Context information is below.
---------------------
Nike was created in 1958. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1958",1,1964,1958,1958,mis_label
2,1,Nike,creator_error,mis_knowledge1,Nike was created in 1964. The creator of Nike is Michael Jordan and LeBron James. Nike is the brand of athletic footwear.,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Michael Jordan and LeBron James. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Michael Jordan",Michael,Bill Bowerman and Phil Knight,Michael Jordan and LeBron James,Michael Jordan,gt
3,1,Nike,creator_error,mis_knowledge2,Nike was created in 1964. The creator of Nike is Steve Jobs and Bill Gates. Nike is the brand of athletic footwear.,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Steve Jobs and Bill Gates. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Steve Jobs, Bill Gates",Steve,Bill Bowerman and Phil Knight,Steve Jobs and Bill Gates,"Steve Jobs, Bill Gates",gt
4,1,Nike,content_error,mis_knowledge1,Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of gourmet coffee.,What are the main products of this brand?,"user
You are a helpful assistant.

Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of gourmet coffee.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Shoes and apparel.",Shoes,athletic footwear,gourmet coffee,Shoes and apparel.,gt
5,1,Nike,content_error,mis_knowledge2,Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of luxury watches.,What are the main products of this brand?,"user
You are a helpful assistant.

Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of luxury watches.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Luxury watches",Luxury,athletic footwear,luxury watches,Luxury watches,mis_label
6,2,Coca-Cola,time_error,mis_knowledge1,Coca-Cola was created in 1890. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Context information is below.
---------------------
Coca-Cola was created in 1890. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1890.",1,1886,1890,1890.,mis_label
7,2,Coca-Cola,time_error,mis_knowledge2,Coca-Cola was created in 1875. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Context information is below.
---------------------
Coca-Cola was created in 1875. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1875",1,1886,1875,1875,mis_label
8,2,Coca-Cola,creator_error,mis_knowledge1,Coca-Cola was created in 1886. The creator of Coca-Cola is Thomas Edison. Coca-Cola is the brand of a carbonated soft drink.,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is Thomas Edison. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Thomas Edison",Thomas,John Stith Pemberton,Thomas Edison,Thomas Edison,mis_label
9,2,Coca-Cola,creator_error,mis_knowledge2,Coca-Cola was created in 1886. The creator of Coca-Cola is Leonardo da Vinci. Coca-Cola is the brand of a carbonated soft drink.,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is Leonardo da Vinci. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Leonardo da Vinci",Leonardo,John Stith Pemberton,Leonardo da Vinci,Leonardo da Vinci,mis_label
