ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Taylor Swift,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1989",1,1989,1988,"
1989",CORRECT
1,Taylor Swift,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Canadian,"
American.",CORRECT
1,Taylor Swift,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Singer-songwriter.",S,singer-songwriter,novelist,"
Singer-songwriter.",CORRECT
2,Elon Musk,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1971",1,1971,1970,"
1971",CORRECT
2,Elon Musk,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,South African-Canadian-American,South African-British-American,"
American.",INCORRECT
2,Elon Musk,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Entrepreneur and inventor.",Entre,"business magnate, investor, and engineer",professional athlete,"
Entrepreneur and inventor.",CORRECT
3,Cristiano Ronaldo,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1985",1,1985,1984,"
1985",CORRECT
3,Cristiano Ronaldo,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
Portuguese.",Port,Portuguese,Spanish,"
Portuguese.",CORRECT
3,Cristiano Ronaldo,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Professional footballer.",Professional,professional footballer,professional basketball player,"
Professional footballer.",CORRECT
4,Dwayne Johnson,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1971",1,1972,1971,"
1971",INCORRECT
4,Dwayne Johnson,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Canadian,"
American.",CORRECT
4,Dwayne Johnson,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Actor and wrestler.",Actor,"professional wrestler, actor, and producer",professional chef,"
Actor and wrestler.",CORRECT
5,Kim Kardashian,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1980",1,1980,1981,"
1980",CORRECT
5,Kim Kardashian,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Canadian,"
American.",CORRECT
5,Kim Kardashian,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Reality TV star.",Reality,"media personality, businesswoman, and socialite",professional chef,"
Reality TV star.",CORRECT
6,Kanye West,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1980",1,1977,1978,"
1980",INCORRECT
6,Kanye West,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Canadian,"
American.",CORRECT
6,Kanye West,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Rapper/Designer",R,"rapper, producer, and fashion designer",chef,"
Rapper/Designer",INCORRECT
7,Barack Obama,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1961",1,1961,August 5,"
1961",CORRECT
7,Barack Obama,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,[American],Canadian,"
American.",CORRECT
7,Barack Obama,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
President",President,[politician and former president],chef,"
President",CORRECT
8,Oprah Winfrey,Temporal_error,mis_knowledge1,,What year was the entity born?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What year was the entity born?. Answer with only 1-3 word(s).
assistant
1954",1,1954,1955,"
1954",CORRECT
8,Oprah Winfrey,location_error,mis_knowledge1,,What is the nationality of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
assistant
American.",American,American,Canadian,"
American.",CORRECT
8,Oprah Winfrey,Career_error,mis_knowledge1,,What is the occupation of the entity?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
assistant
Talk show host.",Talk,"media executive, talk show host, actress, and philanthropist",chef,"
Talk show host.",CORRECT
