ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Nike,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1964",1,1964,1972,"
1964",CORRECT
1,Nike,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Phil Knight",Phil,Bill Bowerman and Phil Knight,Michael Jordan and LeBron James,"
Phil Knight",CORRECT
1,Nike,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Shoes, apparel, equipment.",Shoes,athletic footwear,gourmet coffee,"
Shoes, apparel, equipment.",CORRECT
2,Coca-Cola,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1886",1,1886,1890,"
1886",CORRECT
2,Coca-Cola,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
John Pemberton",John,John Stith Pemberton,Thomas Edison,"
John Pemberton",CORRECT
2,Coca-Cola,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Soft drinks.",Soft,carbonated soft drink,a line of gourmet chocolates,"
Soft drinks.",CORRECT
3,McDonald's,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1940",1,1940,1935,"
1940",CORRECT
3,McDonald's,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Richard and Maurice McDonald",Richard,Richard and Maurice McDonald,Ray Kroc,"
Richard and Maurice McDonald",CORRECT
3,McDonald's,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Burgers, fries, shakes.",Burg,fast food,clothing items,"
Burgers, fries, shakes.",CORRECT
4,Google,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1998",1,1998,1995,"
1998",CORRECT
4,Google,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Larry Page and Sergey Brin",Larry,Larry Page and Sergey Brin,Steve Jobs and Bill Gates,"
Larry Page and Sergey Brin",CORRECT
4,Google,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Search, Android, YouTube",Search,internet-related services and products,fast food restaurants,"
Search, Android, YouTube",INCORRECT
5,Amazon,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1994",1,1994,1990,"
1994",CORRECT
5,Amazon,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Jeff Bezos",Jeff,Jeff Bezos,Elon Musk,"
Jeff Bezos",CORRECT
5,Amazon,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Online retail.",Online,e-commerce platform,fast food chain,"
Online retail.",CORRECT
6,Microsoft,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1975",1,1975,1980,"
1975",CORRECT
6,Microsoft,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Bill Gates",Bill,Bill Gates and Paul Allen,Steve Jobs and Steve Wozniak,"
Bill Gates",INCORRECT
6,Microsoft,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Software, Windows, Xbox",Software,software,clothing and accessories,"
Software, Windows, Xbox",CORRECT
7,Samsung,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1938",1,1938,1945,"
1938",CORRECT
7,Samsung,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Lee Byung-chul",Lee,Lee Byung-chul,Kim Jong-un,"
Lee Byung-chul",CORRECT
7,Samsung,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Electronics, smartphones.",Electronics,electronics,clothing items,"
Electronics, smartphones.",CORRECT
8,Adidas,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1949",1,1949,1945,"
1949",CORRECT
8,Adidas,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Adi Dassler",Adi,Adolf Dassler,Michael Jordan,"
Adi Dassler",CORRECT
8,Adidas,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Sportswear, shoes, apparel.",Sport,sports footwear,sports bicycles,"
Sportswear, shoes, apparel.",CORRECT
9,Toyota,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1937",1,1937,1927,"
1937",CORRECT
9,Toyota,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Kiichiro Toyoda",Ki,Kiichiro Toyoda,Soichiro Honda,"
Kiichiro Toyoda",CORRECT
9,Toyota,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Cars, trucks, SUVs.",Cars,automobiles,electronic appliances,"
Cars, trucks, SUVs.",CORRECT
10,Mercedes-Benz,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1926",1,1926,1900,"
1926",CORRECT
10,Mercedes-Benz,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Karl Benz, Gottlieb Daimler",Karl,Karl Benz and Gottlieb Daimler,Henry Ford and Enzo Ferrari,"
Karl Benz, Gottlieb Daimler",CORRECT
10,Mercedes-Benz,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Cars, SUVs, Vans",Cars,luxury vehicles,luxury watches,"
Cars, SUVs, Vans",CORRECT
11,BMW,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1916",1,1916,1918,"
1916",CORRECT
11,BMW,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Karl Rapp",Karl,Franz Josef Popp,Karl Benz,"
Karl Rapp",INCORRECT
11,BMW,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Cars, motorcycles",Cars,luxury vehicles,luxury watches and jewelry,"
Cars, motorcycles",INCORRECT
12,Starbucks,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1971",1,1971,1968,"
1971",CORRECT
12,Starbucks,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Schultz, Bowker, Baldwin",Sch,"Jerry Baldwin, Zev Siegl, and Gordon Bowker","Steve Jobs, Bill Gates, and Mark Zuckerberg","
Schultz, Bowker, Baldwin",INCORRECT
12,Starbucks,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Coffee, drinks, food.",Coffee,coffee,tea brand,"
Coffee, drinks, food.",INCORRECT
13,Disney,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1923",1,1923,1903,"
1923",CORRECT
13,Disney,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Walt Disney",Walt,Walt Disney,Steve Jobs,"
Walt Disney",CORRECT
13,Disney,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Movies, animation, theme parks",Movies,entertainment,fast food,"
Movies, animation, theme parks",CORRECT
14,Netflix,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1977",1,1997,1995,"
1977",INCORRECT
14,Netflix,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Reed Hastings and Marc Randolph",Reed,Reed Hastings,Mark Zuckerberg,"
Reed Hastings and Marc Randolph",INCORRECT
14,Netflix,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Streaming service.",Streaming,streaming service,gourmet food products,"
Streaming service.",CORRECT
15,Tesla,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
2003",2,2003,2001,"
2003",CORRECT
15,Tesla,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Elon Musk",Elon,Martin Eberhard and Marc Tarpenning,Elon Musk and JB Straubel,"
Elon Musk",INCORRECT
15,Tesla,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Electric vehicles.",Electric,electric vehicles,luxury watches,"
Electric vehicles.",CORRECT
16,Intel,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1968",1,1968,1975,"
1968",CORRECT
16,Intel,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Intel Corporation",Intel,Robert Noyce and Gordon Moore,Steve Jobs and Steve Wozniak,"
Intel Corporation",INCORRECT
16,Intel,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Processors, chips.",Process,semiconductor chips,luxury cars,"
Processors, chips.",CORRECT
17,Mastercard,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1966",1,1966,1970,"
1966",CORRECT
17,Mastercard,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
MasterCard",Master,Interbank Card Association,Apple Inc.,"
MasterCard",INCORRECT
17,Mastercard,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Payment processing.",Payment,financial services,luxury automobiles,"
Payment processing.",INCORRECT
18,Sony,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1946",1,1946,1956,"
1946",CORRECT
18,Sony,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Akio Morita",Ak,Masaru Ibuka and Akio Morita,Steve Jobs and Steve Wozniak,"
Akio Morita",INCORRECT
18,Sony,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Electronics, gaming, entertainment.",Electronics,electronics,clothing items,"
Electronics, gaming, entertainment.",CORRECT
19,LG,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1947",1,1947,1950,"
1947",CORRECT
19,LG,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
LG Corporation",LG,Koo In-hwoi,Kim Woo-choong,"
LG Corporation",INCORRECT
19,LG,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Electronics, appliances.",Electronics,electronics,clothing items,"
Electronics, appliances.",CORRECT
20,Chanel,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1909",1,1910,1905,"
1909",CORRECT
20,Chanel,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity:



Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Coco Chanel",Coco,Coco Chanel,Karl Lagerfeld,"
Coco Chanel",CORRECT
