,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Pred
0,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1988.,1,mis_knowledge1,1989,1988,2,2,2,1988.,16,1,CONTEXTUAL_ANS
1,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1990,1,mis_knowledge2,1989,1990,2,2,2,1990,16,1,CONTEXTUAL_ANS
2,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
3,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
4,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist.,Nov,mis_knowledge1,singer-songwriter,novelist,2,2,2,Novelist.,18944,Nov,CONTEXTUAL_ANS
5,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,chef,2,2,2,Chef.,93903,Chef,CONTEXTUAL_ANS
6,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1970.,1,mis_knowledge1,1971,1970,2,2,2,1970.,16,1,CONTEXTUAL_ANS
7,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1972.,1,mis_knowledge2,1971,1972,2,2,2,1972.,16,1,CONTEXTUAL_ANS
8,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,2,2,2,Professional athlete.,57513,Professional,CONTEXTUAL_ANS
9,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtParam,Entrepreneur,Entre,mis_knowledge2,"business magnate, investor, and engineer",chef,2,2,2,Entrepreneur,70588,Entre,PARAMETRIC_ANSWER
10,3,Cristiano Ronaldo,Temporal_error,What year was the entity born?,VisTxtCont,1984.,1,mis_knowledge1,1985,1984,2,2,2,1984.,16,1,CONTEXTUAL_ANS
11,3,Cristiano Ronaldo,Temporal_error,What year was the entity born?,VisTxtCont,1986.,1,mis_knowledge2,1985,1986,2,2,2,1986.,16,1,CONTEXTUAL_ANS
12,3,Cristiano Ronaldo,location_error,What is the nationality of the entity?,VisTxtCont,Spanish.,Spanish,mis_knowledge1,Portuguese,Spanish,2,2,2,Spanish.,61797,Spanish,CONTEXTUAL_ANS
13,3,Cristiano Ronaldo,location_error,What is the nationality of the entity?,VisTxtParam,Portuguese.,Port,mis_knowledge2,Portuguese,Andorran,2,2,2,Portuguese.,7084,Port,PARAMETRIC_ANSWER
14,3,Cristiano Ronaldo,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional soccer player.,Professional,mis_knowledge1,professional footballer,professional basketball player,2,2,2,Professional footballer,57513,Professional,PARAMETRIC_ANSWER
