ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Nike,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1964",1,1964,1972,"
1964",CORRECT
1,Nike,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Phil Knight",Phil,Bill Bowerman and Phil Knight,Michael Jordan and LeBron James,"
Phil Knight",CORRECT
1,Nike,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Sports apparel.",Sports,athletic footwear,gourmet coffee,"
Sports apparel.",INCORRECT
2,Coca-Cola,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1886",1,1886,1890,"
1886",CORRECT
2,Coca-Cola,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
John Pemberton",John,John Stith Pemberton,Thomas Edison,"
John Pemberton",CORRECT
2,Coca-Cola,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Coca-Cola, Sprite, Fanta.",C,carbonated soft drink,a line of gourmet chocolates,"
Coca-Cola, Sprite, Fanta.",CORRECT
3,McDonald's,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1940s",1,1940,1935,"
1940s",CORRECT
3,McDonald's,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Ray Kroc",Ray,Richard and Maurice McDonald,Ray Kroc,"
Ray Kroc",INCORRECT
3,McDonald's,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Fast food.",Fast,fast food,clothing items,"
Fast food.",CORRECT
4,Google,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1998",1,1998,1995,"
1998",CORRECT
4,Google,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Larry Page",Larry,Larry Page and Sergey Brin,Steve Jobs and Bill Gates,"
Larry Page",INCORRECT
4,Google,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Search engine, Maps, Gmail.",Search,internet-related services and products,fast food restaurants,"
Search engine, Maps, Gmail.",CORRECT
5,Amazon,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1994",1,1994,1990,"
1994",CORRECT
5,Amazon,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Jeff Bezos",Jeff,Jeff Bezos,Elon Musk,"
Jeff Bezos",CORRECT
5,Amazon,content_error,mis_knowledge1,,What are the main products of this brand?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Electronics, books, toys.",Elect,e-commerce platform,fast food chain,"
Electronics, books, toys.",INCORRECT
6,Microsoft,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1975",1,1975,1980,"
1975",CORRECT
6,Microsoft,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Given your knowledge, answer the question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Bill Gates",Bill,Bill Gates and Paul Allen,Steve Jobs and Steve Wozniak,"
Bill Gates",INCORRECT
