ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Nike,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1964",1,1964,1972,"
1964",CORRECT
1,Nike,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Phil Knight.",Phil,Bill Bowerman and Phil Knight,Michael Jordan and LeBron James,"
Phil Knight.",INCORRECT
1,Nike,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Nike.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Shoes, apparel, gear.",Shoes,athletic footwear,gourmet coffee,"
Shoes, apparel, gear.",CORRECT
2,Coca-Cola,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1886",1,1886,1890,"
1886",CORRECT
2,Coca-Cola,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
John Pemberton",John,John Stith Pemberton,Thomas Edison,"
John Pemberton",CORRECT
2,Coca-Cola,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Beverages, soft drinks.",Bever,carbonated soft drink,a line of gourmet chocolates,"
Beverages, soft drinks.",CORRECT
3,McDonald's,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1962",1,1940,1935,"
1962",INCORRECT
3,McDonald's,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Richard and Maurice McDonald",Richard,Richard and Maurice McDonald,Ray Kroc,"
Richard and Maurice McDonald",CORRECT
3,McDonald's,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Burgers, Fries, Shakes",Burg,fast food,clothing items,"
Burgers, Fries, Shakes",CORRECT
4,Google,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Google.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1998.",1,1998,1995,"
1998.",CORRECT
4,Google,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Google.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Larry Page, Sergey Brin",Larry,Larry Page and Sergey Brin,Steve Jobs and Bill Gates,"
Larry Page, Sergey Brin",CORRECT
4,Google,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Google.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
Search, AI, Cloud.",Search,internet-related services and products,fast food restaurants,"
Search, AI, Cloud.",CORRECT
5,Amazon,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Amazon.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1994",1,1994,1990,"
1994",CORRECT
5,Amazon,creator_error,mis_knowledge1,,Who established the brand corresponding to the logo?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Amazon.Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
model
Jeff Bezos",Jeff,Jeff Bezos,Elon Musk,"
Jeff Bezos",CORRECT
5,Amazon,content_error,mis_knowledge1,,What are the main products of this brand?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Amazon.Query: What are the main products of this brand?. Answer with only 1-3 word(s).
model
E-commerce, cloud.",E,e-commerce platform,fast food chain,"
E-commerce, cloud.",CORRECT
6,Microsoft,time_error,mis_knowledge1,,When was the brand associated with the logo established?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
model
1975",1,1975,1980,"
1975",CORRECT
