ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken
1,Taylor Swift,Temporal_error,VisTxtCont,"
1988",1,mis_knowledge1,1989,0,0,27,1989,16,1
1,Taylor Swift,Temporal_error,VisTxtCont,"
1990",1,mis_knowledge2,1989,0,0,27,1989,16,1
1,Taylor Swift,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,0,0,27,American.,28418,American
1,Taylor Swift,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,0,0,27,American.,28418,American
1,Taylor Swift,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge1,singer-songwriter,0,0,27,Singer-songwriter.,50,S
1,Taylor Swift,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge2,singer-songwriter,0,0,27,Singer-songwriter.,50,S
2,Elon Musk,Temporal_error,VisTxtCont,"
1970",1,mis_knowledge1,1971,0,0,27,1971,16,1
2,Elon Musk,Temporal_error,VisTxtCont,"
1972",1,mis_knowledge2,1971,0,0,27,1971,16,1
2,Elon Musk,location_error,VisTxtCont,"
South African-British-American",South,mis_knowledge1,South African-Canadian-American,0,0,27,American.,28418,American
2,Elon Musk,location_error,VisTxtCont,"
Zimbabwean-Canadian-American",Canadian,mis_knowledge2,South African-Canadian-American,0,0,27,American.,28418,American
2,Elon Musk,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,"business magnate, investor, and engineer",0,0,27,Entrepreneur and inventor.,70588,Entre
2,Elon Musk,Career_error,VisTxtParam,"
Entrepreneur",Entre,mis_knowledge2,"business magnate, investor, and engineer",0,0,27,Entrepreneur and inventor.,70588,Entre
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge1,professional footballer,0,0,27,Professional footballer.,57513,Professional
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge2,professional footballer,0,0,27,Professional footballer.,57513,Professional
