ID,Entity,Category,Group,Query,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,ctx_first_token_id,layer,head,pos_src_count,pos_dst_count,baseline_logit_noRAG,patched_logit_noRAG,delta
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,0,1369,1369,1.80078125,1.8125,0.01171875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,1,1369,1369,1.80078125,1.7998046875,-0.0009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,2,1369,1369,1.80078125,1.8115234375,0.0107421875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,3,1369,1369,1.80078125,1.8037109375,0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,4,1369,1369,1.80078125,1.8076171875,0.0068359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,5,1369,1369,1.80078125,1.798828125,-0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,6,1369,1369,1.80078125,1.82421875,0.0234375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,7,1369,1369,1.80078125,1.794921875,-0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,8,1369,1369,1.80078125,1.7939453125,-0.0068359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,9,1369,1369,1.80078125,1.806640625,0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,10,1369,1369,1.80078125,1.796875,-0.00390625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,11,1369,1369,1.80078125,1.7998046875,-0.0009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,12,1369,1369,1.80078125,1.7958984375,-0.0048828125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,13,1369,1369,1.80078125,1.8017578125,0.0009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,14,1369,1369,1.80078125,1.798828125,-0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,15,1369,1369,1.80078125,1.7900390625,-0.0107421875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,16,1369,1369,1.80078125,1.798828125,-0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,17,1369,1369,1.80078125,1.7978515625,-0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,18,1369,1369,1.80078125,1.802734375,0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,19,1369,1369,1.80078125,1.802734375,0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,20,1369,1369,1.80078125,1.79296875,-0.0078125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,21,1369,1369,1.80078125,1.8037109375,0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,22,1369,1369,1.80078125,1.7919921875,-0.0087890625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,23,1369,1369,1.80078125,1.8173828125,0.0166015625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,24,1369,1369,1.80078125,1.8037109375,0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,25,1369,1369,1.80078125,1.8173828125,0.0166015625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,26,1369,1369,1.80078125,1.7939453125,-0.0068359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,0,27,1369,1369,1.80078125,1.794921875,-0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,0,1369,1369,1.80078125,1.806640625,0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,1,1369,1369,1.80078125,1.7958984375,-0.0048828125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,2,1369,1369,1.80078125,1.806640625,0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,3,1369,1369,1.80078125,1.8017578125,0.0009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,4,1369,1369,1.80078125,1.802734375,0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,5,1369,1369,1.80078125,1.8134765625,0.0126953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,6,1369,1369,1.80078125,1.7978515625,-0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,7,1369,1369,1.80078125,1.7998046875,-0.0009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,8,1369,1369,1.80078125,1.8076171875,0.0068359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,9,1369,1369,1.80078125,1.8076171875,0.0068359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,10,1369,1369,1.80078125,1.7978515625,-0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,11,1369,1369,1.80078125,1.8046875,0.00390625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,12,1369,1369,1.80078125,1.8046875,0.00390625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,13,1369,1369,1.80078125,1.8095703125,0.0087890625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,14,1369,1369,1.80078125,1.80078125,0.0
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,15,1369,1369,1.80078125,1.810546875,0.009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,16,1369,1369,1.80078125,1.7890625,-0.01171875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,17,1369,1369,1.80078125,1.802734375,0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,18,1369,1369,1.80078125,1.802734375,0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,19,1369,1369,1.80078125,1.8115234375,0.0107421875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,20,1369,1369,1.80078125,1.80078125,0.0
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,21,1369,1369,1.80078125,1.810546875,0.009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,22,1369,1369,1.80078125,1.810546875,0.009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,23,1369,1369,1.80078125,1.8056640625,0.0048828125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,24,1369,1369,1.80078125,1.8037109375,0.0029296875
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,25,1369,1369,1.80078125,1.80078125,0.0
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,26,1369,1369,1.80078125,1.7998046875,-0.0009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,1,27,1369,1369,1.80078125,1.8076171875,0.0068359375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,0,1369,1369,1.80078125,1.8203125,0.01953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,1,1369,1369,1.80078125,1.810546875,0.009765625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,2,1369,1369,1.80078125,1.802734375,0.001953125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,3,1369,1369,1.80078125,1.806640625,0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,4,1369,1369,1.80078125,1.83984375,0.0390625
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,5,1369,1369,1.80078125,1.794921875,-0.005859375
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,6,1369,1369,1.80078125,1.7958984375,-0.0048828125
1,Taylor Swift,Career_error,VisTxtCont,What is the occupation of the entity?,mis_knowledge1,singer-songwriter,novelist,38042,2,7,1369,1369,1.80078125,1.818359375,0.017578125
