ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Response_iso,Pred
1,Taylor Swift,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Taylor Swift.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1989",1,1989,1988,"
1989",CORRECT
1,Taylor Swift,location_error,mis_knowledge1,,What is the nationality of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Taylor Swift.Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
model
American.",American,American,Canadian,"
American.",CORRECT
1,Taylor Swift,Career_error,mis_knowledge1,,What is the occupation of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Taylor Swift.Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
model
Singer-songwriter",Singer,singer-songwriter,novelist,"
Singer-songwriter",CORRECT
2,Elon Musk,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Elon Musk.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1971",1,1971,1970,"
1971",CORRECT
2,Elon Musk,location_error,mis_knowledge1,,What is the nationality of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Elon Musk.Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
model
South African-American-Canadian",South,South African-Canadian-American,South African-British-American,"
South African-American-Canadian",CORRECT
2,Elon Musk,Career_error,mis_knowledge1,,What is the occupation of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Elon Musk.Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
model
Entrepreneur, CEO, Engineer",Entrepreneur,"business magnate, investor, and engineer",professional athlete,"
Entrepreneur, CEO, Engineer",CORRECT
3,Cristiano Ronaldo,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Cristiano Ronaldo.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1985",1,1985,1984,"
1985",CORRECT
3,Cristiano Ronaldo,location_error,mis_knowledge1,,What is the nationality of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Cristiano Ronaldo.Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
model
Portuguese.",Portuguese,Portuguese,Spanish,"
Portuguese.",CORRECT
3,Cristiano Ronaldo,Career_error,mis_knowledge1,,What is the occupation of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Cristiano Ronaldo.Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
model
Footballer.",Football,professional footballer,professional basketball player,"
Footballer.",CORRECT
4,Dwayne Johnson,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Dwayne Johnson.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1972",1,1972,1971,"
1972",CORRECT
4,Dwayne Johnson,location_error,mis_knowledge1,,What is the nationality of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Dwayne Johnson.Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
model
American.",American,American,Canadian,"
American.",CORRECT
4,Dwayne Johnson,Career_error,mis_knowledge1,,What is the occupation of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Dwayne Johnson.Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
model
Actor, producer, businessman",Actor,"professional wrestler, actor, and producer",professional chef,"
Actor, producer, businessman",CORRECT
5,Kim Kardashian,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Kim Kardashian.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1980",1,1980,1981,"
1980",CORRECT
5,Kim Kardashian,location_error,mis_knowledge1,,What is the nationality of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Kim Kardashian.Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
model
American.",American,American,Canadian,"
American.",CORRECT
5,Kim Kardashian,Career_error,mis_knowledge1,,What is the occupation of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Kim Kardashian.Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
model
Media personality.",Media,"media personality, businesswoman, and socialite",professional chef,"
Media personality.",CORRECT
6,Kanye West,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Kanye West.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1977",1,1977,1978,"
1977",CORRECT
6,Kanye West,location_error,mis_knowledge1,,What is the nationality of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Kanye West.Query: What is the nationality of the entity?. Answer with only 1-3 word(s).
model
American.",American,American,Canadian,"
American.",CORRECT
6,Kanye West,Career_error,mis_knowledge1,,What is the occupation of the entity?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Kanye West.Query: What is the occupation of the entity?. Answer with only 1-3 word(s).
model
Rapper, designer, producer",R,"rapper, producer, and fashion designer",chef,"
Rapper, designer, producer",CORRECT
7,Barack Obama,Temporal_error,mis_knowledge1,,What year was the entity born?,"user
You are a helpful assistant.

Given your knowledge, answer the question about the following entity.
Entity: Barack Obama.Query: What year was the entity born?. Answer with only 1-3 word(s).
model
1961",1,1961,August 5,"
1961",CORRECT
