ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Query,Pred_LLM
1,Taylor Swift,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge1,singer-songwriter,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
1,Taylor Swift,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge2,singer-songwriter,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
2,Elon Musk,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,"business magnate, investor, and engineer",0,0,13,Entrepreneur and inventor.,70588,Entre,What is the occupation of this entity?,CORRECT
2,Elon Musk,Career_error,VisTxtParam,"
Entrepreneur",Entre,mis_knowledge2,"business magnate, investor, and engineer",0,0,13,Entrepreneur and inventor.,70588,Entre,What is the occupation of this entity?,CORRECT
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge1,professional footballer,0,0,13,Professional footballer.,57513,Professional,What is the occupation of this entity?,CORRECT
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge2,professional footballer,0,0,13,Professional footballer.,57513,Professional,What is the occupation of this entity?,CORRECT
4,Dwayne Johnson,Career_error,VisTxtCont,"
Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
4,Dwayne Johnson,Career_error,VisTxtParam,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge1,"media personality, businesswoman, and socialite",0,0,13,Politician.,96347,Polit,What is the occupation of this entity?,INCORRECT
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge2,"media personality, businesswoman, and socialite",0,0,13,Politician.,96347,Polit,What is the occupation of this entity?,INCORRECT
6,Kanye West,Career_error,VisParam_TxtCont,"
Rapper, producer.",R,mis_knowledge1,"rapper, producer, and fashion designer",0,0,13,Musician and rapper.,24128,Music,What is the occupation of this entity?,CORRECT
6,Kanye West,Career_error,VisTxtParam,"
Rapper, architect, designer.",R,mis_knowledge2,"rapper, producer, and fashion designer",0,0,13,Musician and rapper.,24128,Music,What is the occupation of this entity?,CORRECT
7,Barack Obama,Career_error,VisParam_TxtCont,"
President",President,mis_knowledge1,[politician and former president],0,0,13,President,26137,President,What is the occupation of this entity?,CORRECT
7,Barack Obama,Career_error,VisParam_TxtCont,"
President",President,mis_knowledge2,[politician and former president],0,0,13,President,26137,President,What is the occupation of this entity?,CORRECT
8,Oprah Winfrey,Career_error,VisTxtParam,"
Talk show host",Talk,mis_knowledge1,"media executive, talk show host, actress, and philanthropist",0,0,13,TV host,15653,TV,What is the occupation of this entity?,CORRECT
8,Oprah Winfrey,Career_error,VisTxtParam,"
Media executive.",Media,mis_knowledge2,"media executive, talk show host, actress, and philanthropist",0,0,13,TV host,15653,TV,What is the occupation of this entity?,CORRECT
9,Tom Hanks,Career_error,VisTxtParam,"
Filmmaker and actor.",Fil,mis_knowledge1,actor and filmmaker,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
9,Tom Hanks,Career_error,VisTxtParam,"
Filmmaker.",Fil,mis_knowledge2,actor and filmmaker,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
10,Jennifer Lopez,Career_error,VisParam_TxtCont,"
Actress, dancer, chef.",Act,mis_knowledge1,"singer, actress, and dancer",0,0,13,Actress.,2414,Act,What is the occupation of this entity?,CORRECT
10,Jennifer Lopez,Career_error,VisTxtParam,"
Singer, actress, dancer.",S,mis_knowledge2,"singer, actress, and dancer",0,0,13,Actress.,2414,Act,What is the occupation of this entity?,CORRECT
11,Justin Bieber,Career_error,VisTxtCont,"
Chef and restaurateur.",Chef,mis_knowledge1,singer and songwriter,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
11,Justin Bieber,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge2,singer and songwriter,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
12,Rihanna,Career_error,VisTxtCont,"
Chef, actress, businesswoman.",Chef,mis_knowledge1,"singer, actress, and businesswoman",0,0,13,Singer-songwriter.,50,S,What is the occupation of this entity?,CORRECT
12,Rihanna,Career_error,VisTxtParam,"
Singer, architect, businesswoman.",S,mis_knowledge2,"singer, actress, and businesswoman",0,0,13,Singer-songwriter.,50,S,What is the occupation of this entity?,CORRECT
13,LeBron James,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge1,professional basketball player,0,0,13,Professional basketball player.,57513,Professional,What is the occupation of this entity?,CORRECT
13,LeBron James,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge2,professional basketball player,0,0,13,Professional basketball player.,57513,Professional,What is the occupation of this entity?,CORRECT
14,Bill Gates,Career_error,VisTxtCont,"
Professional chef.",Professional,mis_knowledge1,"business magnate, software developer, and philanthropist",0,0,13,Politician.,96347,Polit,What is the occupation of this entity?,INCORRECT
14,Bill Gates,Career_error,VisParam_TxtCont,"
Philanthropist.",Phil,mis_knowledge2,"business magnate, software developer, and philanthropist",0,0,13,Politician.,96347,Polit,What is the occupation of this entity?,INCORRECT
15,Jeff Bezos,Career_error,VisParam_TxtCont,"
Founder of Amazon.",Founder,mis_knowledge1,entrepreneur and founder of Amazon,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
15,Jeff Bezos,Career_error,VisTxtParam,"
Founder of Amazon.",Founder,mis_knowledge2,entrepreneur and founder of Amazon,0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
16,Mark Zuckerberg,Career_error,VisTxtCont,"
Professional chef.",Professional,mis_knowledge1,technology entrepreneur and CEO of Meta (formerly Facebook),0,0,13,Musician/Producer,24128,Music,What is the occupation of this entity?,INCORRECT
16,Mark Zuckerberg,Career_error,VisTxtCont,"
Civil engineer.",Civil,mis_knowledge2,technology entrepreneur and CEO of Meta (formerly Facebook),0,0,13,Musician/Producer,24128,Music,What is the occupation of this entity?,INCORRECT
17,Ariana Grande,Career_error,VisTxtCont,"
Chef and actress.",Chef,mis_knowledge1,singer and actress,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
17,Ariana Grande,Career_error,VisTxtCont,"
Singer and architect.",S,mis_knowledge2,singer and actress,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
18,Lady Gaga,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,"singer, songwriter, and actress",0,0,13,Singer-songwriter.,50,S,What is the occupation of this entity?,CORRECT
18,Lady Gaga,Career_error,VisTxtParam,"
Singer, architect, actress.",S,mis_knowledge2,"singer, songwriter, and actress",0,0,13,Singer-songwriter.,50,S,What is the occupation of this entity?,CORRECT
19,Chris Hemsworth,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
19,Chris Hemsworth,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
20,Scarlett Johansson,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge1,actress and singer,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
20,Scarlett Johansson,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress and singer,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
21,Brad Pitt,Career_error,VisTxtParam,"
Film producer.",Film,mis_knowledge1,actor and film producer,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
21,Brad Pitt,Career_error,VisTxtParam,"
Film producer.",Film,mis_knowledge2,actor and film producer,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
22,Johnny Depp,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor and musician,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
22,Johnny Depp,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor and musician,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
23,Will Smith,Career_error,VisParam_TxtCont,"
Actor, rapper, producer.",Actor,mis_knowledge1,"actor, rapper, and producer",0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
23,Will Smith,Career_error,VisTxtParam,"
Actor, producer.",Actor,mis_knowledge2,"actor, rapper, and producer",0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
24,Kevin Hart,Career_error,VisParam_TxtCont,"
Actor and comedian.",Actor,mis_knowledge1,comedian and actor,0,0,13,Musician,24128,Music,What is the occupation of this entity?,INCORRECT
24,Kevin Hart,Career_error,VisTxtParam,"
Actor and comedian.",Actor,mis_knowledge2,comedian and actor,0,0,13,Musician,24128,Music,What is the occupation of this entity?,INCORRECT
25,The Rock,Career_error,VisTxtParam,"
Actor, wrestler.",Actor,mis_knowledge1,"[professional wrestler, actor, and former football player]",0,0,13,Artist/Writer/Actor.,40309,Artist,What is the occupation of this entity?,INCORRECT
25,The Rock,Career_error,VisParam_TxtCont,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"[professional wrestler, actor, and former football player]",0,0,13,Artist/Writer/Actor.,40309,Artist,What is the occupation of this entity?,INCORRECT
26,Emma Watson,Career_error,VisTxtCont,"
Novelist and activist.",Nov,mis_knowledge1,actress and activist,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
26,Emma Watson,Career_error,VisTxtCont,"
Chef and activist.",Chef,mis_knowledge2,actress and activist,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
27,Daniel Radcliffe,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
27,Daniel Radcliffe,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,actor,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
28,Selena Gomez,Career_error,VisTxtCont,"
Chef, actress, producer.",Chef,mis_knowledge1,"singer, actress, and producer",0,0,13,Artist/Actor/Writer,40309,Artist,What is the occupation of this entity?,INCORRECT
28,Selena Gomez,Career_error,VisTxtParam,"
Singer, architect, producer.",S,mis_knowledge2,"singer, actress, and producer",0,0,13,Artist/Actor/Writer,40309,Artist,What is the occupation of this entity?,INCORRECT
29,Zendaya,Career_error,VisParam_TxtCont,"
Singer, actress, producer.",S,mis_knowledge1,"actress, singer, and producer",0,0,13,Software Engineer.,19250,Software,What is the occupation of this entity?,INCORRECT
29,Zendaya,Career_error,VisTxtParam,"
Actress.",Act,mis_knowledge2,"actress, singer, and producer",0,0,13,Software Engineer.,19250,Software,What is the occupation of this entity?,INCORRECT
30,Tom Holland,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
30,Tom Holland,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,actor,0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
31,Chris Pratt,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,0,0,13,Musician/Producer.,24128,Music,What is the occupation of this entity?,INCORRECT
31,Chris Pratt,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge2,actor,0,0,13,Musician/Producer.,24128,Music,What is the occupation of this entity?,INCORRECT
32,Jennifer Lawrence,Career_error,VisParam_TxtCont,"
Actress",Act,mis_knowledge1,actress,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
32,Jennifer Lawrence,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress,0,0,13,Actress,2414,Act,What is the occupation of this entity?,CORRECT
33,Gal Gadot,Career_error,VisParam_TxtCont,"
Model and actress.",Model,mis_knowledge1,actress and model,0,0,13,Writer/Artist/Scientist,6492,Writer,What is the occupation of this entity?,INCORRECT
33,Gal Gadot,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress and model,0,0,13,Writer/Artist/Scientist,6492,Writer,What is the occupation of this entity?,INCORRECT
34,Henry Cavill,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge1,actor,0,0,13,Artist/Designer,40309,Artist,What is the occupation of this entity?,INCORRECT
34,Henry Cavill,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,0,0,13,Artist/Designer,40309,Artist,What is the occupation of this entity?,INCORRECT
35,Benedict Cumberbatch,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,0,0,13,Priest,92878,Pri,What is the occupation of this entity?,INCORRECT
35,Benedict Cumberbatch,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,0,0,13,Priest,92878,Pri,What is the occupation of this entity?,INCORRECT
36,Keanu Reeves,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,0,0,13,Teacher.,45065,Teacher,What is the occupation of this entity?,INCORRECT
36,Keanu Reeves,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,0,0,13,Teacher.,45065,Teacher,What is the occupation of this entity?,INCORRECT
37,Ryan Reynolds,Career_error,VisTxtParam,"
Actor",Actor,mis_knowledge1,actor and producer,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
37,Ryan Reynolds,Career_error,VisTxtParam,"
Actor",Actor,mis_knowledge2,actor and producer,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,CORRECT
38,Hugh Jackman,Career_error,VisTxtParam,"
Actor, singer, producer.",Actor,mis_knowledge1,"actor, singer, and producer",0,0,13,Engineer.,4571,Engine,What is the occupation of this entity?,INCORRECT
38,Hugh Jackman,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,"actor, singer, and producer",0,0,13,Engineer.,4571,Engine,What is the occupation of this entity?,INCORRECT
39,Priyanka Chopra,Career_error,VisParam_TxtCont,"
Actress",Act,mis_knowledge1,"actress, producer, and former Miss World",0,0,13,Priyanka Chopra,92878,Pri,What is the occupation of this entity?,INCORRECT
39,Priyanka Chopra,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,"actress, producer, and former Miss World",0,0,13,Priyanka Chopra,92878,Pri,What is the occupation of this entity?,INCORRECT
40,Nicki Minaj,Career_error,VisTxtParam,"
Singer-songwriter.",S,mis_knowledge1,"rapper, singer, and songwriter",0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
40,Nicki Minaj,Career_error,VisTxtParam,"
Rapper",R,mis_knowledge2,"rapper, singer, and songwriter",0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
41,Cardi B,Career_error,VisParam_TxtCont,"
Rapper",R,mis_knowledge1,rapper and singer,0,0,13,Card player.,5770,Card,What is the occupation of this entity?,INCORRECT
41,Cardi B,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,rapper and singer,0,0,13,Card player.,5770,Card,What is the occupation of this entity?,INCORRECT
43,Ed Sheeran,Career_error,VisTxtCont,"
Professional footballer.",Professional,mis_knowledge1,singer-songwriter,0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
43,Ed Sheeran,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,singer-songwriter,0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
44,Bruno Mars,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,"singer, songwriter, and record producer",0,0,13,Actor/Artist,18870,Actor,What is the occupation of this entity?,INCORRECT
