,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,dst_start,k,ablated_layers,ablate_component,ablate_scope,New_Answer,TopDecodedTokenID,TopDecodedToken,pos_count,Pred
0,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1988.,1,mis_knowledge1,1989,1988,0,3,0..3,mlp,positions,1985,16,1,1369,INCORRECT
1,1,Taylor Swift,Temporal_error,What year was the entity born?,VisTxtCont,1990,1,mis_knowledge2,1989,1990,0,3,0..3,mlp,positions,1985,16,1,1369,INCORRECT
2,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,1369,CORRECT
3,1,Taylor Swift,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,1369,CORRECT
4,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist.,Nov,mis_knowledge1,singer-songwriter,novelist,0,3,0..3,mlp,positions,Singer-songwriter.,50,S,1369,CORRECT
5,1,Taylor Swift,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,chef,0,3,0..3,mlp,positions,Singer-songwriter.,50,S,1369,CORRECT
6,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1970.,1,mis_knowledge1,1971,1970,0,3,0..3,mlp,positions,1971,16,1,999,CORRECT
7,2,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1972.,1,mis_knowledge2,1971,1972,0,3,0..3,mlp,positions,1971,16,1,999,CORRECT
8,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge1,"business magnate, investor, and engineer",professional athlete,0,3,0..3,mlp,positions,Entrepreneur.,70588,Entre,999,CORRECT
9,2,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtParam,Entrepreneur,Entre,mis_knowledge2,"business magnate, investor, and engineer",chef,0,3,0..3,mlp,positions,Entrepreneur.,70588,Entre,999,CORRECT
10,3,Cristiano Ronaldo,Temporal_error,What year was the entity born?,VisTxtCont,1984.,1,mis_knowledge1,1985,1984,0,3,0..3,mlp,positions,2005,17,2,777,INCORRECT
11,3,Cristiano Ronaldo,Temporal_error,What year was the entity born?,VisTxtCont,1986.,1,mis_knowledge2,1985,1986,0,3,0..3,mlp,positions,2005,17,2,777,INCORRECT
12,3,Cristiano Ronaldo,location_error,What is the nationality of the entity?,VisTxtCont,Spanish.,Spanish,mis_knowledge1,Portuguese,Spanish,0,3,0..3,mlp,positions,Portuguese,7084,Port,777,CORRECT
13,3,Cristiano Ronaldo,location_error,What is the nationality of the entity?,VisTxtParam,Portuguese.,Port,mis_knowledge2,Portuguese,Andorran,0,3,0..3,mlp,positions,Portuguese,7084,Port,777,CORRECT
14,3,Cristiano Ronaldo,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional soccer player.,Professional,mis_knowledge1,professional footballer,professional basketball player,0,3,0..3,mlp,positions,Footballer.,86323,Football,777,CORRECT
15,3,Cristiano Ronaldo,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional footballer,Professional,mis_knowledge2,professional footballer,professional tennis player,0,3,0..3,mlp,positions,Footballer.,86323,Football,777,CORRECT
16,4,Dwayne Johnson,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,851,CORRECT
17,4,Dwayne Johnson,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,851,CORRECT
18,4,Dwayne Johnson,Career_error,What is the occupation of the entity?,VisCont_TxtParam,"Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",professional chef,0,3,0..3,mlp,positions,Actor,18870,Actor,851,CORRECT
19,4,Dwayne Johnson,Career_error,What is the occupation of the entity?,VisTxtParam,"Actor, wrestler.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",architect,0,3,0..3,mlp,positions,Actor,18870,Actor,851,CORRECT
20,5,Kim Kardashian,Temporal_error,What year was the entity born?,VisTxtCont,1981.,1,mis_knowledge1,1980,1981,0,3,0..3,mlp,positions,1980,16,1,962,CORRECT
21,5,Kim Kardashian,Temporal_error,What year was the entity born?,VisTxtCont,1979.,1,mis_knowledge2,1980,1979,0,3,0..3,mlp,positions,1980,16,1,962,CORRECT
22,5,Kim Kardashian,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,962,CORRECT
23,5,Kim Kardashian,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,962,CORRECT
24,5,Kim Kardashian,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Socialite.,Social,mis_knowledge1,"media personality, businesswoman, and socialite",professional chef,0,3,0..3,mlp,positions,Reality TV star.,46164,Reality,962,CORRECT
25,5,Kim Kardashian,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Socialite.,Social,mis_knowledge2,"media personality, businesswoman, and socialite",software engineer,0,3,0..3,mlp,positions,Reality TV star.,46164,Reality,962,CORRECT
26,6,Kanye West,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American rapper,28418,American,1369,INCORRECT
